producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria
30,2025-02-21 17:23:39,ASUS TUF Gaming GeForce RTX 4070 SUPER OC Edition 12GB GDDR6X DLSS3,https://www.pccomponentes.com/asus-tuf-gaming-geforce-rtx-4070-super-oc-edition-12gb-gddr6x-dlss3,"817,98€",,"4,8/5",352 opiniones,ASUS
31,2025-02-21 17:23:39,ASUS Dual AMD Radeon RX 7900 XT OC Edition 20GB GDDR6,https://www.pccomponentes.com/tarjeta-grafica-asus-dual-amd-radeon-rx-7900-xt-oc-edition-20gb-gddr6,799€,,"4,4/5",41 opiniones,ASUS
32,2025-02-21 17:23:39,ASUS PRIME B550-PLUS,https://www.pccomponentes.com/asus-prime-b550-plus,120€,139€,"4,5/5",725 opiniones,ASUS
33,2025-02-21 17:23:39,ASUS PRIME B840-PLUS WIFI,https://www.pccomponentes.com/placa-base-asus-prime-b840-plus-wifi,"179,99€","199,99€","4,5/5",1 opiniones,ASUS
34,2025-02-21 17:23:39,Asus Prime A520M-K,https://www.pccomponentes.com/asus-prime-a520m-k,"66,72€","82,74€","4,5/5",149 opiniones,ASUS
35,2025-02-21 17:23:39,ASUS PRIME B860M-A WIFI,https://www.pccomponentes.com/placa-base-asus-prime-b860m-a-wifi,"179,99€","206,99€",,,ASUS
36,2025-02-21 17:23:39,ASUS PRIME B860M-A-CSM,https://www.pccomponentes.com/placa-base-asus-prime-b860m-a-csm,"159,99€",219€,"0,5/5",1 opiniones,ASUS
37,2025-02-21 17:23:39,ASUS ROG STRIX Z790-A GAMING WIFI II,https://www.pccomponentes.com/asus-rog-strix-z790-a-gaming-wifi-ii,"339,99€","421,67€","4,4/5",149 opiniones,ASUS
38,2025-02-21 17:23:39,ASUS TUF GAMING B760M-E D4,https://www.pccomponentes.com/asus-tuf-gaming-b760m-e-d4,"138,40€",,"4,6/5",482 opiniones,ASUS
39,2025-02-21 17:23:39,ASUS ROG STRIX Z890-A GAMING WIFI,https://www.pccomponentes.com/placa-base-asus-rog-strix-z890-a-gaming-wifi,"429,99€","507,95€","4,5/5",1 opiniones,ASUS
40,2025-02-21 17:23:39,ASUS PRIME B450-PLUS,https://www.pccomponentes.com/asus-prime-b450-plus,"99,97€",,"4,5/5",1071 opiniones,ASUS
41,2025-02-21 17:23:50,AMD Ryzen 7 9800X3D 4.7/5.2GHz,https://www.pccomponentes.com/procesador-amd-ryzen-7-9800x3d-47-52ghz,"559,99€","749,99€","4,6/5",263 opiniones,Procesadores
42,2025-02-21 17:23:50,AMD Ryzen 5 7600X 4.7 GHz Box sin Ventilador,https://www.pccomponentes.com/amd-ryzen-5-7600x-47-ghz-box-sin-ventilador,"229,99€",366€,"4,8/5",932 opiniones,Procesadores
43,2025-02-21 17:23:50,AMD Ryzen 7 7800X3D 4.2 GHz/5 GHz,https://www.pccomponentes.com/amd-ryzen-7-7800x3d-42-ghz-5-ghz,"499,95€","699,99€","4,8/5",1453 opiniones,Procesadores
44,2025-02-21 17:23:50,AMD Ryzen 7 5800X 3.8GHz,https://www.pccomponentes.com/amd-ryzen-7-5800x-38ghz,"179,99€",545€,"4,8/5",3935 opiniones,Procesadores
45,2025-02-21 17:23:50,AMD Ryzen 7 9700X 3.8/5.5GHz,https://www.pccomponentes.com/procesador-amd-ryzen-7-9700x-38-55ghz,389€,,"4,6/5",60 opiniones,Procesadores
46,2025-02-21 17:23:50,AMD Ryzen 7 5700X3D 3/4.1GHz Box,https://www.pccomponentes.com/amd-ryzen-7-5700x3d-3-41ghz-box,"265,99€",,"4,7/5",165 opiniones,Procesadores
