id,nombre,url
1,PC sobremesa,https://www.pccomponentes.com/sobremesa
2,Configurador de PCs,https://www.pccomponentes.com/configurador
3,Intel,https://www.pccomponentes.com/espacio-intel
4,MacBook Pro/Air,https://www.pccomponentes.com/macbook
5,Portátiles,https://www.pccomponentes.com/portatiles
