producto_id,Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,Battery mAh
115,2.9,10.0,64.0,8000.0,16.0,,4.0,macOS,2.15 kg,
116,,8.0,64.0,,16.0,NVidia,4.0,macOS,2.15,None
117,,6.0,64.0,1000.0,16.0,,4.0,macOS,2.15,
118,,,,,,,,,,
119,3.5,8.0,16.0,512.0,15.6,NVidia,2.0,,,90
120,,,,,,,,,,
121,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
122,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,,,
123,2.8,8.0,16.0,512.0,15.6,NVidia,3.0,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,0.0,,,
130,,,,,,,,,,
131,2.8,16.0,32.0,1000.0,17.3,NVidia,4.0,,,
132,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
133,,,,,,,,,,
134,2.8,4.0,16.0,512.0,14.0,NVidia,3.0,Windows,,
135,,,,,,,,,,
136,,,,,,,1.0,,,
137,,,,,,,,,,
138,,0.0,0.0,0.0,0.0,,0.0,,,
139,,,,,,,,,,
140,,,,,,,,,,
141,2.8,4.0,16.0,512.0,,Intel,3.0,Windows,1.37,5940
142,2.9,4.0,8.0,512.0,13.3,,0.0,macOS,1.37,
143,1.4,4.0,8.0,0.0,15.6,Intel,2.0,macOS,1.4,
144,2.6,4.0,8.0,256.0,13.3,,2.0,macOS,1.37 kg,5667 mAh
145,2.8,6.0,16.0,512.0,14.0,NVidia,4.0,,,
146,3.5,2.0,8.0,512.0,13.3,,,macOS,1.37,
147,1.65,4.0,8.0,256.0,13.3,,2.0,macOS,1.37,
148,2.1,4.0,16.0,512.0,15.4,Intel,4.0,macOS,1.37 kg,
149,2.2,6.0,16.0,256.0,15.4,AMD,1.0,macOS,1.83,
150,2.4,4.0,16.0,512.0,15.5,Intel,4.0,macOS,1.83 kg,
151,2.6,4.0,16.0,256.0,15.5,Intel,0.0,macOS,1.83 kg,
152,2.6,6.0,16.0,512.0,15.4,AMD,,macOS,1.83 kg,
153,2.5,6.0,16.0,512.0,14.0,NVidia,3.0,,,
154,2.8,10.0,16.0,512.0,15.6,NVidia,3.0,,,
155,,,,,,,,,,
156,2.3,8.0,16.0,512.0,15.4,AMD,4.0,macOS,1.83,
157,,,,,,,,,,
158,3.2,8.0,16.0,512.0,15.6,NVidia,2.0,,,90
159,,,,,,,,,,
160,,,,,,,,,,
161,,8.0,16.0,512.0,15.6,,2.0,,,7000
162,,,,,,,,,,
163,,0.0,,,,,0.0,,,
164,,,,,,,,,,
165,,,,,,,,,,
166,,,,,,,0.0,,,
167,2.7,8.0,16.0,512.0,15.6,NVidia,3.0,,,90
168,,,,,,,,,,
169,2.8,6.0,16.0,512.0,15.4,NVidia,3.0,,,
170,2.8,4.0,16.0,512.0,15.6,NVidia,2.0,,,90
171,,,,,,,0.0,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
177,,,,,,,,,,
178,,0.0,,,,,,,,
179,,,,,,,,,,
180,,0.0,,,,,,,,
181,2.8,10.0,16.0,512.0,15.6,NVidia,4.0,,,
182,,0.0,,,,,,,,
183,,,,,,,,,,
184,2.4,6.0,16.0,512.0,15.6,NVidia,2.0,Windows,,5200
185,3.5,8.0,16.0,512.0,15.6,NVidia,2.0,,,90
186,3.2,4.0,16.0,512.0,14.0,NVidia,2.0,Windows,,
187,,0.0,,,,,,,,
188,,,,,,,,,,
189,2.6,6.0,16.0,512.0,16.0,AMD,4.0,macOS,2,
190,2.6,6.0,16.0,512.0,16.0,AMD,4.0,macOS,2 kg,
