producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones
1063,2025-02-28 13:24:30,"Portátil ASUS Chromebook CR1100FKA-BP0069 Intel Celeron N4500/4GB/64GB eMMC/11.6"" Táctil Teclado Fra",https://www.pccomponentes.com/portatil-asus-chromebook-cr1100fka-bp0069-intel-celeron-n4500-4gb-64gb-emmc-116-tactil-teclado-frances,"444,52€",0,0,0
1064,2025-02-28 13:24:44,"ASUS Chromebook CR1100FKA-BP0566 Intel Celeron N5100/4GB/32GB eMMC/11.6"" Táctil",https://www.pccomponentes.com/asus-chromebook-cr1100fka-bp0566-intel-celeron-n5100-4gb-32gb-emmc-116-tactil,"285,11€",0,5/5,21 valoraciones
1065,2025-02-28 13:24:57,"Portátil ASUS Chromebook CR1104CGA-N00023 Intel N100/4GB/32GB eMMC/11.6""",https://www.pccomponentes.com/portatil-asus-chromebook-cr1104cga-n00023-intel-n100-4gb-32gb-emmc-116,"270,95€",0,"4,7/5",21 valoraciones
1066,2025-02-28 13:25:13,"Portátil ASUS Chromebook CZ11 Flip CZ1104FM2A-NS0028 MediaTek Kompanio 520/4GB/32GB eMMC/11.6"" Tácti",https://www.pccomponentes.com/portatil-asus-chromebook-cz11-flip-cz1104fm2a-ns0028-mediatek-kompanio-520-4gb-32gb-emmc-116-tactil,"297,59€",0,"4,7/5",21 valoraciones
1067,2025-02-28 13:25:31,"ASUS Chromebook Flip CR1 CR1100FKA-BP0568 Intel Celeron N5100/8GB/64GB eMMC/11.6"" Táctil",https://www.pccomponentes.com/asus-chromebook-flip-cr1-cr1100fka-bp0568-intel-celeron-n5100-8gb-64gb-emmc-116-tactil,"299,99€",0,"4,8/5",1.748 valoraciones
1068,2025-02-28 13:25:46,"ASUS ExpertBook B1 B1402CBA-EB1905X Intel Core i3-1215U/8GB/256GGB SSD/14"" Reacondicionado",https://www.pccomponentes.com/asus-expertbook-b1-b1402cba-eb1905x-intel-core-i3-1215u-8gb-256ggb-ssd-14,"779,00€",0,"4,4/5",0
1069,2025-02-28 13:26:01,"ASUS ExpertBook B1 B1502CBA-EJ0439 Intel Core i7-1255U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/asus-expertbook-b1-b1502cba-ej0439-intel-core-i7-1255u-16gb-512gb-ssd-156,"1324,45€",0,"3,7/5",983 valoraciones
1070,2025-02-28 13:26:16,"Portátil ASUS ExpertBook B3 B3404CMA-Q50728X Intel Core Ultra 5 125H/16GB/512GB SSD/14""",https://www.pccomponentes.com/portatil-asus-expertbook-b3-b3404cma-q50728x-intel-core-ultra-5-125h-16gb-512gb-ssd-14,"909,00€",0,0,0
1071,2025-02-28 13:26:31,"Portátil ASUS ExpertBook B3 B3404CMA-Q50729X Intel Core Ultra 7 155H/16GB/512GB SSD/14""",https://www.pccomponentes.com/portatil-asus-expertbook-b3-b3404cma-q50729x-intel-core-ultra-7-155h-16gb-512gb-ssd-14,"1069,00€",0,0,0
1072,2025-02-28 13:26:45,"ASUS ExpertBook B3 Flip B3402FBA-EC0435X Intel Core i5-1235U/16GB/512GB SSD/14"" Táctil",https://www.pccomponentes.com/asus-expertbook-b3-flip-b3402fba-ec0435x-intel-core-i5-1235u-16gb-512gb-ssd-14-tactil,"1229,85€",0,"3,3/5",983 valoraciones
