producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria_id,descuento_porcentaje,marca
218,2025-02-28 09:39:07,"ASUS Zenbook S 13 OLED UX5304VA-NQ172W Intel Evo Core i7-1355U/16GB/1TB SSD/13.3"" Reacondicionado",https://www.pccomponentes.com/asus-zenbook-s-13-oled-ux5304va-nq172w-intel-evo-core-i7-1355u-16gb-1tb-ssd-133,1058.9,1058.9,4.5,0,1,0.0,ASUS
219,2025-02-28 09:39:29,"Portátil DELL Latitude 3440 Intel Core i5-1235U/8GB/512GB SSD/14"" (PT)",https://www.pccomponentes.com/portatil-dell-latitude-3440-intel-core-i5-1235u-8gb-512gb-ssd-14-pt,744.24,744.24,4.4,148,4,0.0,Desconocida
220,2025-02-28 09:39:44,"Portátil Deep Gaming Nubian 15 Intel Core i7-13620H/32 GB/1TB SSD/RTX 3050/15.6""",https://www.pccomponentes.com/portatil-deep-gaming-nubian-15-intel-core-i7-13620h-32-gb-1tb-ssd-rtx-3050-156,1261.0,1261.0,4.5,255,1,0.0,Desconocida
221,2025-02-28 09:39:59,"Portátil Deep Gaming Nubian 15 Intel Core i7-13620H/32GB/2TB SSD/RTX 3050/15.6""",https://www.pccomponentes.com/portatil-deep-gaming-nubian-15-intel-core-i7-13620h-32gb-2tb-ssd-rtx-3050-156,1323.99,1323.99,4.5,255,1,0.0,Desconocida
222,2025-02-28 09:40:23,"Dell Latitude 3420 Intel Core i5-1135G7/8GB/256 GB SSD/14""",https://www.pccomponentes.com/dell-latitude-3420-intel-core-i5-1135g7-8gb-256-gb-ssd-14,1297.32,1297.32,4.5,983,4,0.0,Desconocida
223,2025-02-28 09:40:40,"Dell Latitude 3420 Intel Core i5-1135G7/8GB/256GB SSD/14""",https://www.pccomponentes.com/dell-latitude-3420-intel-core-i5-1135g7-8gb-256gb-ssd-14,1064.59,1064.59,5.0,983,4,0.0,Desconocida
224,2025-02-28 09:40:54,"Dell Latitude 3440 Intel Core i5-1355U/16 GB/512GB SSD/14""",https://www.pccomponentes.com/dell-latitude-3440-intel-core-i5-1355u-16-gb-512gb-ssd-14,1249.0,1249.0,0.0,0,4,0.0,Desconocida
225,2025-02-28 09:41:09,"Portátil Dell Latitude 3450 Intel Core i5-1335U/16GB/512GB SSD/14"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-3450-intel-core-i5-1335u-16gb-512gb-ssd-14-teclado-frances,1078.07,1078.07,3.8,271,4,0.0,Desconocida
226,2025-02-28 09:41:24,"Portátil Dell Latitude 3450 Intel Core i5-1335U/8GB/512GB SSD/15.6"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-3450-intel-core-i5-1335u-8gb-512gb-ssd-156-teclado-frances,892.83,892.83,3.8,271,4,0.0,Desconocida
227,2025-02-28 09:41:40,"Dell Latitude 3520 Intel Core i5-1135G7/8GB/256 GB SSD/15.6"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-3520-intel-core-i5-1135g7-8gb-256-gb-ssd-156,0.0,0.0,0.0,0,8,0.0,Desconocida
