producto_id,precio,opiniones,rating,Processor Cores,Processor Speed,RAM Gbs,Storage Gbs,marca,marca_encoded,cluster
367,797.99,5,3.5,4.0,4.5,8.0,256.0,HP,5,0
368,689.0,0,3.6,4.0,5.0,8.0,512.0,HP,5,0
369,541.9,0,4.5,10.0,4.4,8.0,512.0,HP,5,0
370,631.2,0,4.5,10.0,4.4,16.0,512.0,HP,5,0
371,797.99,5,4.0,10.0,4.4,8.0,512.0,HP,5,0
373,555.35,10350,4.2,4.0,2.5,8.0,512.0,HP,5,2
375,0.0,0,4.5,4.0,3.8,8.0,256.0,HP,5,0
376,0.0,0,4.5,8.0,4.3,12.0,512.0,HP,5,0
377,549.0,0,4.5,6.0,4.0,16.0,512.0,HP,5,0
381,529.4,0,4.4,7.282442748091603,4.7,16.0,512.0,HP,5,0
383,632.81,10350,4.3,2.0,4.1,8.0,512.0,HP,5,2
384,602.26,10350,4.0,6.0,4.5,8.0,256.0,HP,5,2
385,815.21,271,3.8,8.0,2.5,16.0,512.0,HP,5,0
386,957.81,1797,4.3,10.0,5.0,16.0,512.0,HP,5,1
388,918.0,5,4.5,8.0,2.4,16.0,512.0,HP,5,0
390,783.99,5,4.4,4.0,2.4,8.0,256.0,HP,5,0
391,914.97,983,4.6,4.0,4.2,8.0,256.0,HP,5,0
392,884.0,5,4.2,4.0,2.4,8.0,512.0,HP,5,0
393,550.55,1656,4.7,8.0,2.5,16.0,512.0,HP,5,0
394,589.0,0,4.2,8.0,2.5,16.0,512.0,HP,5,0
399,718.83,271,3.8,8.0,2.3,16.0,512.0,HP,5,0
401,366.0,0,4.362676056338028,7.282442748091603,1.8,16.0,512.0,HP,5,0
414,0.0,0,4.362676056338028,4.0,3.5,16.0,512.0,Desconocida,4,0
416,1499.0,0,4.362676056338028,8.0,2.4,16.0,512.0,HP,5,0
417,1399.0,0,4.5,12.0,4.8,16.0,1.0,HP,5,1
418,1003.8,0,3.8,10.0,5.0,16.0,1.0,HP,5,1
420,2029.0,0,4.0,16.0,4.8,32.0,1.0,HP,5,1
422,1513.96,629,4.5,8.0,2.4,16.0,512.0,HP,5,0
424,1709.0,0,3.0,16.0,4.8,32.0,1.0,HP,5,1
425,1160.0,86,4.5,12.0,4.3,16.0,512.0,HP,5,1
428,1430.4,271,3.8,8.0,2.5,16.0,512.0,HP,5,0
432,1399.0,1797,4.5,6.0,2.9,16.0,512.0,HP,5,0
434,1463.43,133,4.3,10.0,4.4,8.0,512.0,HP,5,1
435,1584.99,324,4.4,8.0,2.4,16.0,512.0,HP,5,0
436,1082.46,133,4.3,10.0,4.4,8.0,512.0,HP,5,0
438,1155.0,86,5.0,8.0,2.4,16.0,512.0,HP,5,0
440,799.0,0,4.362676056338028,4.0,2.7,16.0,512.0,HP,5,0
443,269.89,54,3.8,4.0,1.6,8.0,256.0,HP,5,0
444,488.99,28,3.0,4.0,1.6,16.0,512.0,HP,5,0
446,2213.96,983,5.0,10.0,4.4,16.0,512.0,HP,5,1
448,1672.59,133,4.3,8.0,2.5,16.0,512.0,HP,5,0
450,1449.0,0,3.6,14.0,4.5,16.0,512.0,HP,5,1
451,1716.97,271,3.8,4.0,2.8,16.0,512.0,HP,5,0
457,834.67,133,4.3,8.0,2.5,16.0,512.0,HP,5,0
461,1000.0,112,4.0,4.0,1.6,8.0,256.0,HP,5,0
462,854.67,133,5.0,4.0,1.8,16.0,512.0,HP,5,0
471,778.0,133,4.0,4.0,2.5,16.0,512.0,HP,5,0
475,0.0,0,4.362676056338028,8.0,2.7,16.0,512.0,Desconocida,4,0
476,668.99,133,4.3,8.0,3.0,16.0,512.0,HP,5,0
478,1075.48,133,4.3,6.0,2.8,16.0,512.0,HP,5,0
479,305.0,28,4.5,4.0,2.0,8.0,256.0,HP,5,0
480,339.0,28,4.6,4.0,3.8,16.0,512.0,HP,5,0
484,1699.0,0,4.4,8.0,2.7,16.0,512.0,HP,5,0
485,688.3,0,4.5,12.0,4.3,16.0,512.0,HP,5,1
486,1269.0,0,4.5,8.0,5.1,16.0,458.2550607287449,HP,5,1
488,0.0,0,4.5,6.0,4.0,8.0,512.0,HP,5,0
498,1909.0,0,4.5,8.0,1.5,16.0,512.0,HP,5,0
499,2099.0,0,2.5,20.0,5.5,32.0,1.0,HP,5,1
500,2149.0,0,2.5,20.0,5.5,32.0,1.0,HP,5,1
501,1999.0,0,1.0,20.0,5.5,32.0,458.2550607287449,HP,5,1
502,1899.0,0,1.0,20.0,5.5,32.0,1.0,HP,5,1
503,1999.0,0,4.5,4.0,2.8,16.0,512.0,HP,5,0
506,1759.0,0,4.362676056338028,8.0,2.5,16.0,512.0,HP,5,0
507,1699.0,0,4.362676056338028,8.0,2.5,16.0,512.0,HP,5,0
510,2398.99,0,4.2,8.0,5.0,16.0,256.0,HP,5,1
512,2499.0,0,4.1,8.0,2.16,16.0,512.0,HP,5,0
516,1799.0,0,4.362676056338028,8.0,4.8,32.0,1.0,HP,5,1
518,1399.0,0,4.362676056338028,12.0,3.4,32.0,1.0,HP,5,1
522,949.0,0,4.5,10.0,5.0,16.0,458.2550607287449,HP,5,1
526,1090.05,0,4.0,14.0,5.0,16.0,1.0,HP,5,1
527,999.0,0,4.4,12.0,4.6,16.0,512.0,HP,5,1
528,1299.0,0,4.3,8.0,4.5,64.0,1000.0,HP,5,1
532,1799.0,0,4.5,16.0,4.8,32.0,458.2550607287449,HP,5,1
533,930.16,10350,4.3,10.0,4.6,8.0,512.0,HP,5,2
536,1713.21,983,4.5,4.0,4.7,16.0,512.0,HP,5,0
537,1198.32,133,4.3,10.0,5.0,16.0,512.0,HP,5,1
540,1199.0,1797,1.0,4.0,1.9,8.0,256.0,HP,5,0
545,529.93,133,4.6,4.0,4.2,16.0,512.0,HP,5,0
546,985.08,133,5.0,8.0,2.5,16.0,512.0,HP,5,0
552,1148.44,133,4.7,10.0,5.0,16.0,512.0,HP,5,1
553,0.0,0,4.4,4.0,4.2,16.0,512.0,HP,5,0
554,736.39,133,4.5,10.0,2.8,32.0,512.0,HP,5,1
558,1018.44,271,3.8,8.0,3.0,17.595744680851062,458.2550607287449,HP,5,0
566,602.04,133,5.0,4.0,4.2,8.0,256.0,HP,5,0
571,909.0,0,4.5,7.282442748091603,2.5,16.0,512.0,HP,5,0
576,1298.88,2404,4.4,8.0,2.5,16.0,512.0,HP,5,0
577,649.04,10350,4.5,6.0,4.2,8.0,512.0,HP,5,2
578,824.9,10350,4.3,6.0,4.2,8.0,512.0,HP,5,2
586,0.0,0,4.4,4.0,2.8,16.0,512.0,HP,5,0
587,1025.25,0,4.6,8.0,2.5,16.0,512.0,HP,5,0
588,0.0,0,4.7,8.0,2.29,16.0,1000.0,HP,5,0
597,1359.0,0,4.362676056338028,8.0,5.1,16.0,512.0,HP,5,1
598,1838.99,0,4.362676056338028,16.0,4.8,16.0,512.0,HP,5,1
599,1509.0,0,4.362676056338028,16.0,4.8,16.0,512.0,HP,5,1
612,6098.0,5,5.0,24.0,4.0,32.0,1000.0,HP,5,1
613,4305.16,983,4.5,6.0,3.2,16.0,512.0,HP,5,1
618,2228.09,7386,4.7,8.0,2.8,16.0,512.0,HP,5,2
619,1899.0,0,4.362676056338028,12.0,4.8,16.0,512.0,HP,5,1
621,2468.18,1797,4.5,12.0,4.8,32.0,458.2550607287449,HP,5,1
627,2875.0,0,5.0,7.282442748091603,5.2,32.0,1000.0,HP,5,1
630,2949.0,0,4.362676056338028,16.0,5.0,32.0,1.0,HP,5,1
631,3599.0,0,4.362676056338028,16.0,5.1,32.0,1000.0,HP,5,1
633,685.15,0,4.362676056338028,6.0,2.8,16.0,512.0,HP,5,0
634,335.0,44,4.3,8.0,3.2,16.0,512.0,HP,5,0
635,433.6,10312,5.0,8.0,2.4,16.0,512.0,Desconocida,4,2
636,550.04,7386,3.8,8.0,2.8,16.0,512.0,Desconocida,4,2
639,1208.71,2404,4.4,4.0,2.5,16.0,512.0,Desconocida,4,0
642,1604.89,36,4.2,8.0,2.5,16.0,512.0,Desconocida,4,0
644,1402.76,7386,4.8,8.0,4.6,16.0,1.0,Desconocida,4,2
646,1777.72,0,4.5,8.0,3.2,16.0,512.0,Desconocida,4,0
648,0.0,0,4.8,8.0,2.4,16.0,512.0,Desconocida,4,0
649,1484.69,148,5.0,8.0,2.8,16.0,512.0,Desconocida,4,0
653,2319.0,0,4.9,4.0,2.5,16.0,512.0,Desconocida,4,0
657,1675.04,0,4.5,8.0,2.4,16.0,512.0,Desconocida,4,0
658,778.48,983,4.5,6.0,2.0,8.0,512.0,Desconocida,4,0
659,877.65,0,4.362676056338028,8.0,2.4,16.0,512.0,Desconocida,4,0
660,0.0,0,4.362676056338028,14.0,1.2,16.0,512.0,Desconocida,4,0
664,0.0,0,4.362676056338028,8.0,1.4,32.0,1000.0,Desconocida,4,0
665,294.48,1018,4.5,2.0,2.8,4.0,32.0,Lenovo,6,0
666,415.99,0,4.362676056338028,2.0,1.2,4.0,32.0,Lenovo,6,0
668,440.1,983,3.5,2.0,2.3,4.0,128.0,Lenovo,6,0
671,528.99,215,4.6,8.0,4.3,16.0,512.0,Lenovo,6,0
673,778.0,5,4.3,8.0,2.8,16.0,512.0,Lenovo,6,0
688,0.0,0,4.5,8.0,3.5,16.0,512.0,Lenovo,6,0
692,0.0,0,4.5,8.0,2.7,16.0,512.0,Lenovo,6,0
693,0.0,0,4.6,4.0,4.2,8.0,512.0,Lenovo,6,0
696,669.0,0,4.5,4.0,2.4,16.0,512.0,ASUS,0,0
697,559.0,0,4.5,8.0,4.6,16.0,512.0,Lenovo,6,0
698,729.0,0,4.5,10.0,2.4,16.0,458.2550607287449,Lenovo,6,0
699,539.0,0,4.6,10.0,4.6,16.0,512.0,HP,5,0
701,559.0,0,4.8,8.0,4.4,16.0,512.0,Lenovo,6,0
702,549.0,0,4.5,7.282442748091603,4.6,16.0,458.2550607287449,Lenovo,6,0
704,529.0,0,4.7,4.0,2.0,8.0,256.0,ASUS,0,0
705,299.0,0,4.4,8.0,3.8,8.0,256.0,ASUS,0,0
706,499.0,0,4.6,8.0,2.5,8.0,256.0,HP,5,0
708,649.0,0,4.5,7.282442748091603,4.6,16.0,458.2550607287449,Lenovo,6,0
713,569.0,0,4.5,8.0,4.5,16.0,512.0,ASUS,0,0
714,1429.0,0,4.5,16.0,5.2,32.0,1.0,MSI,7,1
717,949.0,0,4.3,16.0,5.1,16.0,1.0,ASUS,0,1
718,529.0,0,4.3,8.0,4.3,16.0,512.0,Acer,1,0
721,579.0,0,4.7,4.0,2.5,8.0,512.0,ASUS,0,0
728,799.0,0,4.5,8.0,3.4,16.0,1.0,MSI,7,0
730,399.0,0,4.3,8.0,3.8,8.0,512.0,ASUS,0,0
731,659.0,0,4.6,10.0,5.0,16.0,458.2550607287449,HP,5,1
735,779.0,0,4.6,10.0,4.6,16.0,458.2550607287449,ASUS,0,0
736,819.0,0,4.3,14.0,4.5,16.0,512.0,ASUS,0,1
738,1249.0,0,4.5,7.282442748091603,3.1,16.0,1000.0,HP,5,0
740,929.0,0,4.3,8.0,5.1,16.0,458.2550607287449,ASUS,0,0
744,489.0,0,4.362676056338028,4.0,2.0,8.0,256.0,ASUS,0,0
746,1289.0,0,4.5,16.0,5.2,16.0,458.2550607287449,MSI,7,1
747,739.0,0,4.6,8.0,4.6,16.0,512.0,Lenovo,6,0
749,529.0,0,4.5,8.0,4.5,16.0,512.0,ASUS,0,0
753,1299.0,0,4.5,16.0,5.2,16.0,1.0,MSI,7,1
755,349.99,0,3.9,2.0,2.0,8.0,256.0,Alurin,2,0
757,498.99,0,4.6,4.0,4.3,16.0,458.2550607287449,HP,5,0
759,499.0,0,4.5,8.0,4.3,16.0,512.0,Acer,1,0
760,1119.0,0,4.8,4.0,1.8,16.0,512.0,Lenovo,6,0
761,416.99,0,4.6,6.0,4.5,8.0,512.0,Lenovo,6,0
765,699.0,0,4.6,4.0,4.3,16.0,1000.0,HP,5,0
766,1473.39,10350,4.5,8.0,2.3,16.0,512.0,HP,5,2
768,599.0,0,4.6,7.282442748091603,2.9,8.0,256.0,HP,5,0
769,349.0,0,4.6,7.282442748091603,4.5,8.0,512.0,Lenovo,6,0
770,769.0,0,4.5,10.0,5.0,16.0,458.2550607287449,HP,5,1
771,281.99,61,4.5,7.282442748091603,2.9,24.0,512.0,Desconocida,4,0
773,499.0,0,4.4,8.0,4.0,12.0,512.0,ASUS,0,0
775,539.99,1422,4.6,8.0,4.6,16.0,512.0,Lenovo,6,0
776,649.0,0,4.362676056338028,4.0,2.0,8.0,256.0,ASUS,0,0
779,0.0,0,4.362676056338028,7.282442748091603,3.5,16.0,512.0,Desconocida,4,0
780,642.99,1422,4.8,10.0,3.7,16.0,512.0,Lenovo,6,0
782,361.99,87,4.2,6.0,4.4,8.0,256.0,Lenovo,6,0
784,749.0,0,4.5,7.282442748091603,4.7,32.0,458.2550607287449,Acer,1,1
785,399.99,0,4.2,4.0,2.5,16.0,458.2550607287449,Alurin,2,0
787,599.99,0,3.9,4.0,2.5,32.0,458.2550607287449,Alurin,2,0
788,549.0,0,4.362676056338028,4.0,2.5,8.0,512.0,Desconocida,4,0
793,349.0,0,4.4,4.0,2.4,8.0,512.0,HP,5,0
796,2199.0,0,4.9,16.0,5.1,32.0,1.0,ASUS,0,1
797,189.99,0,3.9,2.0,1.1,8.0,256.0,Alurin,2,0
798,1449.0,0,4.7,8.0,5.2,32.0,1.0,MSI,7,1
803,549.0,0,4.8,7.282442748091603,2.0,16.0,512.0,Lenovo,6,0
806,649.0,0,4.5,7.282442748091603,5.0,16.0,512.0,HP,5,0
808,446.85,0,4.3,4.0,4.3,16.0,512.0,ASUS,0,0
811,749.0,0,4.4,8.0,3.4,16.0,512.0,Acer,1,0
