id,fecha,nombre,url,precio,precio_tachado,rating,opiniones,categoria_id
43,2025-02-18 12:31:47,HP Pavilion TP01-4005ns Intel Core i5-13400/16GB/1TB SSD,https://www.pccomponentes.com/hp-pavilion-tp01-4005ns-intel-core-i5-13400-16gb-1tb-ssd,628.99,799.0,4.55,91.0,3
44,2025-02-18 12:31:47,Acer Aspire XC-1780 Intel Core i3-13100/8GB/512GB SSD,https://www.pccomponentes.com/ordenador-sobremesa-acer-aspire-xc-1780-intel-core-i3-13100-8gb-512gb-ssd,399.0,499.0,4.35,25.0,3
45,2025-02-18 12:31:47,HP M01-F2045ns Intel Core i7-12700/16GB/512GB SSD,https://www.pccomponentes.com/hp-m01-f2045ns-intel-core-i7-12700-16gb-512gb-ssd,599.0,749.0,4.85,34.0,3
46,2025-02-18 12:31:47,HP Victus TG02-2015ns Intel Core i5-14400F/16GB/512GB SSD/RTX 3050 + Regalo 3 Meses PC Game Pass,https://www.pccomponentes.com/ordenador-sobremesa-hp-victus-tg02-2015ns-intel-core-i5-14400f-16gb-512gb-ssd-rtx-3050-regalo-3-meses-pc-game-pass,799.0,999.0,4.55,42.0,3
47,2025-02-18 12:31:47,PcCom iCUE Intel Core i5-13600KF / 32GB / 1TB SSD / RTX 4060 Ti,https://www.pccomponentes.com/ordenador-sobremesa-pccom-icue-intel-core-i5-13600kf-32gb-1tb-ssd-rtx-4060-ti,1.43,1778.07,4.65,82.0,3
48,2025-02-18 12:31:47,Acer Nitro N50 N50-650 Intel Core i5-13400F/16GB/1TB SSD/RTX4060,https://www.pccomponentes.com/ordenador-sobremesa-acer-nitro-n50-n50-650-intel-core-i5-13400f-16gb-1tb-ssd-rtx4060,898.99,1.1,4.55,11.0,3
49,2025-02-18 12:31:47,HP Slim Desktop S01-aF2014ns Intel Celeron J4025/8GB/256GB SSD,https://www.pccomponentes.com/ordenador-sobremesa-hp-slim-desktop-s01-af2014ns-intel-celeron-j4025-8gb-256gb-ssd,269.0,329.0,4.65,52.0,3
50,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/16GB/512GB SSD/GPU 10 Núcleos/13.6"" Blanco Estrella",https://www.pccomponentes.com/apple-macbook-air-apple-m3-16gb-512gb-ssd-gpu-10-nucleos-136-blanco-estrella,1.36,1.53,4.85,344.0,4
51,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/16GB/256GB SSD/GPU 10 Núcleos/15.3"" Medianoche",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-10-nucleos-153-medianoche,1.43,1.6,4.75,3.0,4
52,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Pro 14 Núcleos/24GB/1TB SSD/GPU 20 Núcleos/14"" Negro Espacial",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-pro-14-nucleos-24gb-1tb-ssd-gpu-20-nucleos-14-negro-espacial,2688.46,2.95,4.95,23.0,4
53,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/24GB/512GB SSD/GPU 10 Núcleos/13.6"" Medianoche",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-136-medianoche,1.6,1.76,4.85,344.0,4
54,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/13.6"" Blanco Estrella",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-136-blanco-estrella,1278.99,1.53,4.85,344.0,4
55,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/16GB/256GB SSD/GPU 10 Núcleos/15.3"" Gris Espacial",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-10-nucleos-153-gris-espacial,1.43,1.6,9.99,1.0,4
56,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/16GB/256GB SSD/GPU 10 Núcleos/15.3"" Blanco Estrella",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-10-nucleos-153-blanco-estrella,1.35,1.6,,,4
57,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/24GB/512GB SSD/GPU 10 Núcleos/13.6"" Gris Espacial",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-136-gris-espacial,1.6,1.76,4.85,344.0,4
58,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/15.3"" Medianoche",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-153-medianoche,1.54,1.83,4.85,98.0,4
59,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Pro 12 Núcleos/24GB/512GB SSD/GPU 16 Núcleos/14"" Plata",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-pro-12-nucleos-24gb-512gb-ssd-gpu-16-nucleos-14-plata,2.3,,4.95,23.0,4
60,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Pro 14 Núcleos/48GB/512GB SSD/GPU 20 Núcleos/16"" Negro Espacial",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-pro-14-nucleos-48gb-512gb-ssd-gpu-20-nucleos-16-negro-espacial,3.2,,4.85,6.0,4
61,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/15.3"" Plata",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-153-plata,1.45,1.83,4.85,98.0,4
62,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Max 14 Núcleos/36GB/1TB SSD/GPU 32 Núcleos/14"" Negro Espacial",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-max-14-nucleos-36gb-1tb-ssd-gpu-32-nucleos-14-negro-espacial,3.55,3.85,4.95,23.0,4
63,2025-02-18 12:31:54,"Apple MacBook Air Apple M2 8 Núcleos/16GB/256GB SSD/GPU 8 Núcleos/13.6"" Midnight",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m2-8-nucleos-16gb-256gb-ssd-gpu-8-nucleos-136-midnight,1.09,1.2,9.99,2.0,4
64,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/13.6"" Medianoche",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-136-medianoche,1278.99,1.53,4.85,344.0,4
65,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Pro 14 Núcleos/24GB/1TB SSD/GPU 20 Núcleos/14"" Plata",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-pro-14-nucleos-24gb-1tb-ssd-gpu-20-nucleos-14-plata,2.75,2.95,4.95,23.0,4
66,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/13.6"" Plata",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-136-plata,1278.99,1.53,4.85,344.0,4
67,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/16GB/256GB SSD/GPU 10 Núcleos/15.3"" Plata",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-16gb-256gb-ssd-gpu-10-nucleos-153-plata,1.43,1.6,,,4
68,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/24GB/512GB SSD/GPU 10 Núcleos/13.6"" Blanco Estrella",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-136-blanco-estrella,1.6,1.76,9.99,1.0,4
69,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/24GB/512GB SSD/GPU 10 Núcleos/13.6"" Plata",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-136-plata,1.6,1.76,4.85,344.0,4
70,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/13.6"" Gris Espacial",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-136-gris-espacial,1278.99,1.53,4.85,344.0,4
71,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Max 14 Núcleos/36GB/1TB SSD/GPU 32 Núcleos/16"" Negro Espacial",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-max-14-nucleos-36gb-1tb-ssd-gpu-32-nucleos-16-negro-espacial,3.9,,4.85,6.0,4
72,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/24GB/512GB SSD/GPU 10 Núcleos/15.3"" Gris Espacial",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-153-gris-espacial,1.97,,9.99,1.0,4
73,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/24GB/512GB SSD/GPU 10 Núcleos/15.3"" Medianoche",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-153-medianoche,1.97,,9.99,1.0,4
74,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/512GB SSD/GPU 10 Núcleos/15.3"" Blanco Estrella",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-512gb-ssd-gpu-10-nucleos-153-blanco-estrella,1.54,1.83,4.85,98.0,4
75,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Max 14 Núcleos/36GB/1TB SSD/GPU 32 Núcleos/14"" Plata",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-max-14-nucleos-36gb-1tb-ssd-gpu-32-nucleos-14-plata,3.55,3.85,4.95,23.0,4
76,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/256GB SSD/GPU 10 Núcleos/15.3"" Blanco Estrella",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-256gb-ssd-gpu-10-nucleos-153-blanco-estrella,1441.15,1.6,4.85,98.0,4
77,2025-02-18 12:31:54,"Apple Macbook Air Apple M2/8GB/512 GB SSD/GPU Deca Core/13.6"" Plata",https://www.pccomponentes.com/apple-macbook-air-apple-m2-8gb-512-gb-ssd-gpu-deca-core-136-plata,1.14,1.43,4.85,462.0,4
78,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Pro 12 Núcleos/24GB/512GB SSD/GPU 16 Núcleos/14"" Negro Espacial",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-pro-12-nucleos-24gb-512gb-ssd-gpu-16-nucleos-14-negro-espacial,2.45,,4.95,23.0,4
79,2025-02-18 12:31:54,"Apple MacBook Air Apple M2 8 Núcleos/16GB/256GB SSD/GPU 8 Núcleos/13.6"" Gris Espacial",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m2-8-nucleos-16gb-256gb-ssd-gpu-8-nucleos-136-gris-espacial,1.09,1.2,9.99,2.0,4
80,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/8GB/256GB SSD/GPU 10 Núcleos/15.3"" Medianoche",https://www.pccomponentes.com/apple-macbook-air-apple-m3-8gb-256gb-ssd-gpu-10-nucleos-153-medianoche?refurbished,1.06,,4.85,98.0,4
81,2025-02-18 12:31:54,"Apple MacBook Pro Apple M4 Pro 14 Núcleos/24GB/512GB SSD/GPU 20 Núcleos/16"" Plata",https://www.pccomponentes.com/portatil-apple-macbook-pro-apple-m4-pro-14-nucleos-24gb-512gb-ssd-gpu-20-nucleos-16-plata?refurbished,2618.8,,4.85,6.0,4
82,2025-02-18 12:31:54,"Apple Macbook Pro Apple M3 Max 16 Núcleos/48GB/1TB SSD/GPU 40 Núcleos/16"" Negro Espacial",https://www.pccomponentes.com/apple-macbook-pro-apple-m3-max-16-nucleos-48gb-1tb-ssd-gpu-40-nucleos-16-negro-espacial,4.22,4.9,4.95,19.0,4
83,2025-02-18 12:31:54,"Apple MacBook Air Apple M3 8 Núcleos/24GB/512GB SSD/GPU 10 Núcleos/15.3"" Plata",https://www.pccomponentes.com/portatil-apple-macbook-air-apple-m3-8-nucleos-24gb-512gb-ssd-gpu-10-nucleos-153-plata,1.97,,,,4
84,2025-02-18 12:31:54,"Apple MacBook Air Apple M3/16GB/512GB SSD/GPU 10 Núcleos/15.3"" Blanco Estrella",https://www.pccomponentes.com/apple-macbook-air-apple-m3-16gb-512gb-ssd-gpu-10-nucleos-153-blanco-estrella,1.67,1.83,4.85,98.0,4
85,2025-02-18 12:32:01,"Alurin Go Start Intel Celeron N4020/8GB/256GB SSD/15.6""",https://www.pccomponentes.com/alurin-go-start-intel-celeron-n4020-8gb-256gb-ssd-156,229.0,309.99,3.95,421.0,5
86,2025-02-18 12:32:01,"PcCom Revolt 4060 Intel Core i9-14900HX/32GB/1TB SSD/RTX 4060/17.3"" + Windows 11 Home",https://www.pccomponentes.com/pccom-revolt-4060-intel-core-i9-14900hx-32gb-1tb-ssd-rtx-4060-173-windows-11-home,1699.99,1929.99,4.65,131.0,5
87,2025-02-18 12:32:01,"ASUS TUF Gaming A15 FA506NCR-HN006 AMD Ryzen 7 7435HS/16GB/512GB SSD/RTX 3050/15.6""",https://www.pccomponentes.com/portatil-asus-tuf-gaming-a15-fa506ncr-hn006-amd-ryzen-7-7435hs-16gb-512gb-ssd-rtx-3050-156,799.0,899.0,4.65,302.0,5
88,2025-02-18 12:32:01,"HP 15-fd0080ns Intel Core i5-1334U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/hp-15-fd0080ns-intel-core-i5-1334u-16gb-512gb-ssd-156,539.0,679.0,4.65,543.0,5
89,2025-02-18 12:32:01,"Lenovo IdeaPad Slim 3 Gen 8 15IRH8 Intel Core i7-13620H/16GB/1TB SSD/15.6""",https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-gen-8-15irh8-intel-core-i7-13620h-16gb-1tb-ssd-156,689.0,849.0,4.55,80.0,5
90,2025-02-18 12:32:01,"Lenovo IdeaPad Slim 3 15IRH8 Intel Core i5-13420H/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-15irh8-intel-core-i5-13420h-16gb-512gb-ssd-156,479.0,669.0,4.55,235.0,5
91,2025-02-18 12:32:01,"Lenovo IdeaPad Slim 3 15IAH8 Intel Core i5-12450H/16GB/512 GB SSD/15.6""",https://www.pccomponentes.com/portatil-lenovo-ideapad-slim-3-15iah8-intel-core-i5-12450h-16gb-512-gb-ssd-156,519.0,649.0,4.85,38.0,5
92,2025-02-18 12:32:01,"HP Victus Gaming 16-r0036ns Intel Core i7-13620H/32GB/1TB SSD/RTX 4060/16.1""",https://www.pccomponentes.com/hp-victus-gaming-16-r0036ns-intel-core-i7-13620h-32gb-1tb-ssd-rtx-4060-161,1.13,1.4,4.65,1234.0,5
