id,nombre,url
1,Kits de refrigeración líquida,https://www.pccomponentes.com/refrigeracion-liquida/kit-refrigeracion-liquida
2,Plus gold,https://www.pccomponentes.com/fuentes-alimentacion/80-plus-gold
3,Barebones,https://www.pccomponentes.com/barebones
4,Discos duros externos,https://www.pccomponentes.com/discos-duros-externos
5,Ventiladores suplementarios,https://www.pccomponentes.com/ventiladores-suplementarios
